rank,name,city,county,opportunity_score,county_decline_pct,zip_immigrant_pct,zip_hisp_pct,zip_asian_pct,catchment_pop_15km,est_immigrant_pop_15km,acs_poverty_rate,acs_median_income,acs_median_age,acs_unemployment_rate,address,zip,latitude,longitude,website,phone,email,source,attendance_arda,association,building_sqft,capacity_estimate,parking_spots,building_year,closed_year,tract_fips,rucc_description
11,MAYE RIVER BAPTIST CHURCH,Bluffton,Beaufort,63.1,29.2,17.8,17.2,0.6,103823,18480,,,,,,29910,32.242760483886,-80.856758682912,,,,holy_sites_import,,,29736.44,1982,496,,,,
12,GRACE BIBLE CHURCH OF THE LOWCOUNTRY,Bluffton,Beaufort,62.8,29.2,17.8,17.2,0.6,95844,17060,0.1048,84819,47.0,0.0288,156 Regent Avenue,29910,32.267073016697,-80.869923094031,https://gbcbluffton.com,(843) 868-1396,,irs+holy_sites_enrichment,0,,17560.63,1171,293,,,,
13,BRIDGE COMMUNITY CHURCH,Goose Creek,Berkeley,62.4,27.3,14.4,10.4,4.0,293852,42314,,,,,,29445,32.985961,-80.004866,,,,holy_sites_import,,,3619.37,241,60,,,,
14,COLGATE BAPTIST CHURCH,Goose Creek,Berkeley,62.4,27.3,14.4,10.4,4.0,293852,42314,,,,,,29445,32.985961,-80.004866,,,,holy_sites_import,,,3619.37,241,60,,,,
15,FELLOWSHIP BAPTIST CHURCH INC OF CHARLESTON SC,Goose Creek,Berkeley,62.4,27.3,14.4,10.4,4.0,293835,42312,0.1032,82327,36.0,0.0352,12 Cranford Road,29445,32.972250467049,-80.005702831534,,,,irs+holy_sites_enrichment,0,,32740.94,2183,546,,,,
16,FIRST SOUTHERN BAPTIST CHURCH,Goose Creek,Berkeley,62.4,27.3,14.4,10.4,4.0,293852,42314,,,,,,29445,32.985961,-80.004866,,,,holy_sites_import,,,3619.37,241,60,,,,
17,PRIMERA IGLESIA BAUTISTA DE CLARKSVILLE,Goose Creek,Berkeley,62.4,27.3,14.4,10.4,4.0,293852,42314,,,,,,29445,32.985961,-80.004866,,,,holy_sites_import,,,3619.37,241,60,,,,
18,CORNERSTONE CHURCH OF BLUFFTON,Bluffton,Beaufort,62.2,29.2,17.8,17.2,0.6,80344,14301,0.1048,84819,47.0,0.0288,11 Grassey Lane,29910,32.233424627492,-80.9789924049,https://gocornerstone.church,843-757-3472,,irs+holy_sites_enrichment,0,,60147.22,4010,1002,,,,
19,NORTH ISLAND BAPTIST CHURCH,Hilton Head Island,Beaufort,62.0,29.2,18.1,17.7,0.4,61498,11131,,,,,,29926,32.215518676461,-80.730276974802,,,,holy_sites_import,,,13918.03,928,232,,,,
20,MILL TOWN CHURCH,Fort Mill,York,61.7,19.7,13.7,8.9,4.8,463087,63442,,,,,,29715,35.054711343152,-80.911418775561,,,,holy_sites_import,,,3319.41,221,55,,,,
21,PLEASANT VALLEY BAPTIST CHURCH,Fort Mill,York,61.7,19.7,13.7,8.9,4.8,463087,63442,,,,,,29715,35.054711343152,-80.911418775561,,,,holy_sites_import,,,3319.41,221,55,,,,
22,RIVER ROCK COMMUNITY CHURCH,Fort Mill,York,61.7,19.7,13.7,8.9,4.8,463087,63442,,,,,,29715,35.054711343152,-80.911418775561,,,,holy_sites_import,,,3319.41,221,55,,,,
23,WESTERLY HILLS BAPTIST CHURCH,Fort Mill,York,61.7,19.7,13.7,8.9,4.8,463087,63442,,,,,,29715,35.054711343152,-80.911418775561,,,,holy_sites_import,,,3319.41,221,55,,,,
24,CAROLINAS CORNERSTONE BAPTIST CHURCH,Fort Mill,York,61.6,19.7,15.9,7.8,8.1,351368,55867,0.0889,83060,39.0,0.0425,1790 Gardendale Road,29708,35.038612504918,-80.995699906583,https://churches.sbc.net/church/carolinas-cornerstone-baptist-church,803-547-7781,,irs+holy_sites_enrichment,0,,13275.13,885,221,,,,
25,FAIRVIEW BAPTIST CHURCH,Kinards,Newberry,61.6,29.6,18.7,16.7,2.0,11454,2141,,,,,,29355,34.35409490708,-81.80132375775,,,,holy_sites_import,,,2619.64,175,44,,,,
