church_name,denomination,address,city,state,zip,phone,website,email,source_url
Access 17th Street Baptist Church,Southern Baptist Convention,,,,,(540) 312-6646,https://www.google.com/maps/place/+Roanoke+VA+24013-1303,,https://churches.sbc.net/church/access-17th-street-baptist-church/
Activa Church,Southern Baptist Convention,,,,,(980) 525-9401,https://www.google.com/maps/place/+Maiden+NC+28650,,https://churches.sbc.net/church/activa-church/
Acts Global Church,Southern Baptist Convention,,,,,(714) 886-7287,https://www.google.com/maps/place/+Irvine+CA+92618-0313,,https://churches.sbc.net/church/acts-global-church/
ACTS Church,Southern Baptist Convention,,,,,(909) 513-3854,https://www.google.com/maps/place/+Rch Cucamonga+CA+91737-7956,,https://churches.sbc.net/church/acts-church/
Acts2 Northern California,Southern Baptist Convention,,,,,(510) 522-2467,https://www.google.com/maps/place/+Alameda+CA+94502-6553,,https://churches.sbc.net/church/acts2-northern-california/
Acts Fellowship Church,Southern Baptist Convention,,,,,512-970-2757,https://www.google.com/maps/place/+Pflugerville+TX+78660-8122,,https://churches.sbc.net/church/acts-fellowship-church/
Acts2 Southern California,Southern Baptist Convention,,,,,(510) 917-2093,https://www.google.com/maps/place/+San Diego+CA+92123-1643,,https://churches.sbc.net/church/acts2-southern-california/
Acton Baptist Church,Southern Baptist Convention,,,,,817-326-4693,https://www.google.com/maps/place/+Granbury+TX+76049-7985,,https://churches.sbc.net/church/acton-baptist-church/
Acts2 Texas,Southern Baptist Convention,,,,,7448940000,https://www.google.com/maps/place/+Austin+TX+78705-5192,,https://churches.sbc.net/church/acts2-texas/
"Acts 2 Church, Inc.",Southern Baptist Convention,,,,,1821393037,https://www.google.com/maps/place/+Lexington+OK+73051-0576,,https://churches.sbc.net/church/acts-2-church-inc/
Afton Baptist Church,Southern Baptist Convention,,,,,806-291-8254,https://www.google.com/maps/place/+Afton+TX+79220-0054,,https://churches.sbc.net/church/afton-baptist-church/
Acts2 Southeast,Southern Baptist Convention,,,,,(512) 364-5680,https://www.google.com/maps/place/+Fairfax+VA+22030-2877,,https://churches.sbc.net/church/acts2-southeast/
Acts2Fellowship Los Angeles,Southern Baptist Convention,,,,,(949) 616-9595,https://www.google.com/maps/place/+Los Angeles+CA+90064,,https://churches.sbc.net/church/acts2fellowship-los-angeles/
Adonia Church,Southern Baptist Convention,,,,,(828) 778-9630,https://www.google.com/maps/place/+Hendersonville+NC+28792-7549,,https://churches.sbc.net/church/adonia-church/
Adriel Missionary Baptist Church,Southern Baptist Convention,,,,,(865) 993-4264,https://www.google.com/maps/place/+Bean Station+TN+37708,,https://churches.sbc.net/church/adriel-missionary-baptist-church/
Advance Baptist Church,Southern Baptist Convention,,,,,(270) 827-1481,https://www.google.com/maps/place/+Henderson+KY+42420,,https://churches.sbc.net/church/advance-baptist-church/
Adoration Community Church,Southern Baptist Convention,,,,,(602) 245-9346,https://www.google.com/maps/place/+Alameda+CA+94501-3230,,https://churches.sbc.net/church/adoration-community-church/
Adriel Baptist Church,Southern Baptist Convention,,,,,7261940000,https://www.google.com/maps/place/+Dawson Spgs+KY+42408,,https://churches.sbc.net/church/adriel-baptist-church/
Adoniram Baptist Church,Southern Baptist Convention,,,,,(334) 790-1120,https://www.google.com/maps/place/+Abbeville+AL+36310,,https://churches.sbc.net/church/adoniram-baptist-church/
Aenon Baptist Church,Southern Baptist Convention,,,,,(252) 325-4081,https://www.google.com/maps/place/+Elm City+NC+27822-9083,,https://churches.sbc.net/church/aenon-baptist-church/
"Adrian Baptist Church, Inc.",Southern Baptist Convention,,,,,(478) 668-3589,https://www.google.com/maps/place/+Adrian+GA+31002,,https://churches.sbc.net/church/adrian-baptist-church-inc/
Aenon Baptist Church,Southern Baptist Convention,,,,,(850) 576-6911,https://www.google.com/maps/place/+Tallahassee+FL+32310-1130,,https://churches.sbc.net/church/aenon-baptist-church-2/
African Baptist Church,Southern Baptist Convention,,,,,(816) 372-0898,https://www.google.com/maps/place/+Kansas City+MO+64124-1514,,https://churches.sbc.net/church/african-baptist-church/
Afghan American Church,Southern Baptist Convention,,,,,(510) 789-7818,https://www.google.com/maps/place/+Fremont+CA+94536,,https://churches.sbc.net/church/afghan-american-church/
African Evangelical Baptist Church,Southern Baptist Convention,,,,,972-263-1554,https://www.google.com/maps/place/+Grand Prairie+TX+75052-5969,,https://churches.sbc.net/church/african-evangelical-baptist-church/
African Community Baptist Church,Southern Baptist Convention,,,,,770-912-3227,https://www.google.com/maps/place/+Lubbock+TX+79410,,https://churches.sbc.net/church/african-community-baptist-church/
Afrika Community Church,Southern Baptist Convention,,,,,214-780-6495,https://www.google.com/maps/place/+Dallas+TX+75243-7011,,https://churches.sbc.net/church/afrika-community-church/
Aetna Grove Baptist Church,Southern Baptist Convention,,,,,(270) 299-6095,https://www.google.com/maps/place/+Summersville+KY+42782-9043,,https://churches.sbc.net/church/aetna-grove-baptist-church/
Agape All Nations Church,Southern Baptist Convention,,,,,(972) 765-2642,https://www.google.com/maps/place/+Garland+TX+75040-5323,,https://churches.sbc.net/church/agape-all-nations-church/
Agape Baptist Church,Southern Baptist Convention,,,,,(619) 398-5516,https://www.google.com/maps/place/+San Diego+CA+92111,,https://churches.sbc.net/church/agape-baptist-church-7/
Agape Baptist Church,Southern Baptist Convention,,,,,(864) 449-1247,https://www.google.com/maps/place/+Piedmont+SC+29673-7823,,https://churches.sbc.net/church/agape-baptist-church-5/
Agape Baptist Church,Southern Baptist Convention,,,,,(256) 574-5992,https://www.google.com/maps/place/+Scottsboro+AL+35769-7412,,https://churches.sbc.net/church/agape-baptist-church-6/
Agape Baptist Church,Southern Baptist Convention,,,,,(702) 726-3100,https://www.google.com/maps/place/+Caliente+NV+89008,,https://churches.sbc.net/church/agape-baptist-church-3/
Agape Baptist Church,Southern Baptist Convention,,,,,(240) 472-9697,https://www.google.com/maps/place/+Washington+DC+20016-2296,,https://churches.sbc.net/church/agape-baptist-church-2/
Agape Baptist Church,Southern Baptist Convention,,,,,210-521-6027,https://www.google.com/maps/place/+San Antonio+TX+78254-6764,,https://churches.sbc.net/church/agape-baptist-church-9/
Agape Baptist Church,Southern Baptist Convention,,,,,352-840-0186,https://www.google.com/maps/place/+Ocala+FL+34482-7637,,https://churches.sbc.net/church/agape-baptist-church-10/
Agape Baptist Church,Southern Baptist Convention,,,,,(865) 660-7709,https://www.google.com/maps/place/+White Pine+TN+37890,,https://churches.sbc.net/church/agape-baptist-church-4/
Agape Bible Fellowship,Southern Baptist Convention,,,,,937-277-7591,https://www.google.com/maps/place/+Dayton+OH+45405-3401,,https://churches.sbc.net/church/agape-bible-fellowship-2/
"Agape Baptist Church, Inc.",Southern Baptist Convention,,,,,5299279999,https://www.google.com/maps/place/+Calhoun+GA+30701,,https://churches.sbc.net/church/agape-baptist-church-inc/
Agape Bible Fellowship,Southern Baptist Convention,,,,,4649959999,https://www.google.com/maps/place/+Park Forest+IL+60466,,https://churches.sbc.net/church/agape-bible-fellowship/
Agape Baptist Church,Southern Baptist Convention,,,,,(425) 440-8148,https://www.google.com/maps/place/+Renton+WA+98059-6717,,https://churches.sbc.net/church/agape-baptist-church/
Agape Baptist Church,Southern Baptist Convention,,,,,(229) 276-1038,https://www.google.com/maps/place/+Cordele+GA+31015-2757,,https://churches.sbc.net/church/agape-baptist-church-8/
Agape Chinese Christ Church,Southern Baptist Convention,,,,,(202) 908-9388,https://www.google.com/maps/place/+Stafford+VA+22554-5001,,https://churches.sbc.net/church/agape-chinese-christ-church/
Agape Chinese Christian Church,Southern Baptist Convention,,,,,(202) 780-5720,https://www.google.com/maps/place/+Manassas+VA+20111,,https://churches.sbc.net/church/agape-chinese-christian-church/
Agape Chinese Christian Church at Fairfax Station,Southern Baptist Convention,,,,,(703) 380-3510,https://www.google.com/maps/place/+Fairfax+VA+22030-2941,,https://churches.sbc.net/church/agape-chinese-christian-church-at-fairfax-station/
Agape Christian Fellowship,Southern Baptist Convention,,,,,(803) 353-5200,https://www.google.com/maps/place/+Gadsden+SC+29052-9652,,https://churches.sbc.net/church/agape-christian-fellowship/
Agape Church,Southern Baptist Convention,,,,,(571) 367-9676,https://www.google.com/maps/place/+Chantilly+VA+20151-1689,,https://churches.sbc.net/church/agape-church/
Agape Christian Fellowship Bay Area,Southern Baptist Convention,,,,,(510) 371-1057,https://www.google.com/maps/place/+Fremont+CA+94538,,https://churches.sbc.net/church/agape-christian-fellowship-bay-area/
Agape Church,Southern Baptist Convention,,,,,4783479999,https://www.google.com/maps/place/+Hot Springs+AR+71901-7953,,https://churches.sbc.net/church/agape-church-2/
Agape Church,Southern Baptist Convention,,,,,(904) 365-9200,https://www.google.com/maps/place/+Jacksonville+FL+32207-2035,,https://churches.sbc.net/church/agape-church-3/
Agape Chinese Baptist Church,Southern Baptist Convention,,,,,(918) 258-7722,https://www.google.com/maps/place/+Broken Arrow+OK+74012-2040,,https://churches.sbc.net/church/agape-chinese-baptist-church/
"Agape Church of Dallas, Allen",Southern Baptist Convention,,,,,(817) 896-0815,https://www.google.com/maps/place/+Allen+TX+75002,,https://churches.sbc.net/church/agape-church-of-dallas-allen/
Agape Fellowship,Southern Baptist Convention,,,,,9604399999,https://www.google.com/maps/place/+Columbia+MO+65203-1035,,https://churches.sbc.net/church/agape-fellowship-2/
"Agape Deaf Baptist Church, Inc.",Southern Baptist Convention,,,,,(470) 610-4555,https://www.google.com/maps/place/+Stone Mtn+GA+30087-3045,,https://churches.sbc.net/church/agape-deaf-baptist-church-inc/
Agape Fellowship,Southern Baptist Convention,,,,,(907) 723-1787,https://www.google.com/maps/place/+Wasilla+AK+99654-4295,,https://churches.sbc.net/church/agape-fellowship/
Agape Community Fellowship Church,Southern Baptist Convention,,,,,817-263-4221,https://www.google.com/maps/place/+Fort Worth+TX+76134-4944,,https://churches.sbc.net/church/agape-community-fellowship-church/
"Agua Dulce Baptist Church, Agua Dulce",Southern Baptist Convention,,,,,361-998-2561,https://www.google.com/maps/place/+Agua Dulce+TX+78330,,https://churches.sbc.net/church/agua-dulce-baptist-church-agua-dulce/
Agape Fellowship Baptist Church,Southern Baptist Convention,,,,,(954) 654-6796,https://www.google.com/maps/place/+Port St Lucie+FL+34983,,https://churches.sbc.net/church/agape-fellowship-baptist-church/
Agape Life Fellowship,Southern Baptist Convention,,,,,(405) 485-4300,https://www.google.com/maps/place/+Blanchard+OK+73010,,https://churches.sbc.net/church/agape-life-fellowship/
Agape International Baptist Church,Southern Baptist Convention,,,,,(215) 365-1824,https://www.google.com/maps/place/+Philadelphia+PA+19142-2129,,https://churches.sbc.net/church/agape-international-baptist-church/
Agape Korean Baptist Church,Southern Baptist Convention,,,,,(224) 522-9441,https://www.google.com/maps/place/+Northbrook+IL+60062,,https://churches.sbc.net/church/agape-korean-baptist-church/
Agape Mission Baptist Church,Southern Baptist Convention,,,,,808-735-0011,https://www.google.com/maps/place/+Honolulu+HI+96816,,https://churches.sbc.net/church/agape-mission-baptist-church/
Agape International Church and Ministries,Southern Baptist Convention,,,,,(925) 709-4424,https://www.google.com/maps/place/+Antioch+CA+94509-3525,,https://churches.sbc.net/church/agape-international-church-and-ministries/
Agape Myanmar Mission,Southern Baptist Convention,,,,,(619) 279-6376,https://www.google.com/maps/place/+San Diego+CA+92115,,https://churches.sbc.net/church/agape-myanmar-mission/
Agape Nepali Baptist Church,Southern Baptist Convention,,,,,(937) 750-9852,https://www.google.com/maps/place/+Kettering+OH+45429,,https://churches.sbc.net/church/agape-nepali-baptist-church/
Agricola Baptist Church,Southern Baptist Convention,,,,,601-947-2460,https://www.google.com/maps/place/+Lucedale+MS+39452-7482,,https://churches.sbc.net/church/agricola-baptist-church/
Agape Zomi Mission Church,Southern Baptist Convention,,,,,(713) 480-1729,https://www.google.com/maps/place/+Houston+TX+77071,,https://churches.sbc.net/church/agape-zomi-mission-church/
Ages Baptist Church,Southern Baptist Convention,,,,,8545999999,https://www.google.com/maps/place/+Ages+KY+40801,,https://churches.sbc.net/church/ages-baptist-church/
Agape Outpost Baptist Chapel,Southern Baptist Convention,,,,,970-453-1247,https://www.google.com/maps/place/+Breckenridge+CO+80424-8824,,https://churches.sbc.net/church/agape-outpost-baptist-chapel/
"Agua De Vida Baptist Church, El Paso",Southern Baptist Convention,,,,,(915) 479-8379,https://www.google.com/maps/place/+El Paso+TX+79924-7201,,https://churches.sbc.net/church/agua-de-vida-baptist-church-el-paso/
Ahavah Church,Southern Baptist Convention,,,,,(216) 849-3603,https://www.google.com/maps/place/+Pataskala+OH+43062-8319,,https://churches.sbc.net/church/ahavah-church/
