email,domain,valid,fraud_score,generic,risky,org_name,industry,org_size,description
grants@simonfoundation.org,simonfoundation.org,False,0,True,False,,,,
foundation@lancasterfoundation.org,lancasterfoundation.org,False,0,True,False,,,,
admin@nikefoundation.org,nikefoundation.org,False,0,True,False,,,,
scholarships@phillipfoundation.org,phillipfoundation.org,False,0,True,False,,,,
foundation@randfoundation.org,randfoundation.org,False,0,True,False,,,,
info@uticafoundation.org,uticafoundation.org,False,0,True,False,,,,
admin@hugofoundation.org,hugofoundation.org,False,0,True,False,,,,
foundation@woodfoundation.org,woodfoundation.org,False,0,True,False,,,,
admin@visionfundayfoundation.org,visionfundayfoundation.org,False,0,True,False,,,,
admin@arcusfoundation.org,arcusfoundation.org,False,0,True,False,,,,
foundation@pittsburghfoundation.org,pittsburghfoundation.org,False,0,True,False,,,,
foundation@salesforcefoundation.org,salesforcefoundation.org,False,0,True,False,,,,
grants@tacomafoundation.org,tacomafoundation.org,False,0,True,False,,,,
contact@retirementfoundation.org,retirementfoundation.org,False,0,True,False,,,,
admin@wildfoundation.org,wildfoundation.org,False,0,True,False,,,,
info@tulafoundation.org,tulafoundation.org,False,0,True,False,tula,non-profit organization management,21,
foundation@noycefoundation.org,noycefoundation.org,False,0,True,False,,,,
grants@templenowfoundation.org,templenowfoundation.org,False,0,True,False,,,,
foundation@weyerhaeusefoundation.org,weyerhaeusefoundation.org,False,0,True,False,,,,
info@seedfoundation.org,seedfoundation.org,False,0,True,False,,,,
foundation@signaturefoundation.org,signaturefoundation.org,False,0,True,False,,,,
foundation@landolakesfoundation.org,landolakesfoundation.org,False,0,True,False,,,,
foundation@hasbrofoundation.org,hasbrofoundation.org,False,0,True,False,,,,
foundation@raleighfoundation.org,raleighfoundation.org,False,0,True,False,,,,
foundation@emersonfoundation.org,emersonfoundation.org,False,0,True,False,,,,
admin@campbellfoundation.org,campbellfoundation.org,False,0,True,False,the campbell foundation,non-profit organization management,16,
contact@intelfoundation.org,intelfoundation.org,False,0,True,False,,,,
scholarships@otis-foundation.org,otis-foundation.org,False,0,True,False,,,,
grants@silverfoundation.org,silverfoundation.org,False,0,True,False,,,,
foundation@janetfoundation.org,janetfoundation.org,False,0,True,False,,,,
grants@turnerfoundation.org,turnerfoundation.org,False,0,True,False,,,,
foundation@watsonfoundation.org,watsonfoundation.org,False,0,True,False,,,,
info@packardfoundation.org,packardfoundation.org,False,0,True,False,,,,
foundation@cameronfoundation.org,cameronfoundation.org,False,0,True,False,,,,
contact@cofoundation.org,cofoundation.org,False,0,True,False,,,,
admin@workfoundation.org,workfoundation.org,False,0,True,False,work foundation,think tanks,14,
info@wearfoundation.org,wearfoundation.org,False,0,True,False,,,,
scholarships@jacksfoundation.org,jacksfoundation.org,False,0,True,False,,,,
admin@murphyfoundation.org,murphyfoundation.org,False,0,True,False,,,,
info@sagefoundation.org,sagefoundation.org,False,0,True,False,,,,
admin@xeroxfoundation.org,xeroxfoundation.org,False,0,True,False,,,,
contact@agapefoundation.org,agapefoundation.org,False,0,True,False,,,,
foundation@detroitfoundation.org,detroitfoundation.org,False,0,True,False,,,,
info@grahamfoundation.org,grahamfoundation.org,False,0,True,False,,,,
grants@floodfoundation.org,floodfoundation.org,False,0,True,False,,,,
