church_name,denomination,family,address,city_state,zip,phone,website,page_url,irs_ein,irs_address,irs_city,irs_state,irs_zip
Sovereign Grace Baptist Bible Church,Independent Baptist,Baptist Churches,"1916 River Street, Hyde Park, MA 02136","1916 River Street, Hyde Park, MA",02136,(617) 459-6016,,https://www.usachurches.org/church/sovereign-grace-baptist-bible-church.htm,161762825,7 VALLARO RD,HYDE PARK,MA,02136-1919
Capital City Baptist Church,Independent Baptist,Baptist Churches,"22 N Last Chance Gulch, Helena, MT 59601","22 N Last Chance Gulch, Helena, MT",59601,(406) 431-1069,https://ccbchelena.org,https://www.usachurches.org/church/capitalcitybaptistchurch.htm,820582626,PO BOX 4444,HELENA,MT,59604-4444
Santaquin Baptist Church,Independent Baptist,Baptist Churches,"364 North SR 198, Santaquin, UT 84655","364 North SR 198, Santaquin, UT",84655,(801) 754-3636,,https://www.usachurches.org/church/santaquin-baptist-church.htm,237061981,8630 S 60 E,SANDY,UT,84070-0000
Faith International Baptist Church,Independent Baptist,Baptist Churches,"7769 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747","7769 W Irlo Bronson Memorial Hwy, Kissimmee, FL",34747,(760) 405-8134,https://faithinorlando.com,https://www.usachurches.org/church/faith-international-baptist-church.htm,016047099,7860 W COMMERCIAL BLVD,LAUDERHILL,FL,33351-0000
Trinity Baptist Church,Independent Baptist,Baptist Churches,"18826 Coastal Hwy, Rehoboth Beach, DE 19971","18826 Coastal Hwy, Rehoboth Beach, DE",19971,(302) 382-7150,https://tbclewes.com,https://www.usachurches.org/church/trinity-baptist-church-rehoboth-beach.htm,474098829,20408 SPANGLER DR,LINCOLN,DE,19960-2674
Campus Church,Independent Baptist,Baptist Churches,"110 and Highway 29 (250 Brent Lane, Pensacola, FL 32503","110 and Highway 29 (250 Brent Lane, Pensacola, FL",32503,(850) 479-6575,https://campuschurch.com,https://www.usachurches.org/church/campus-church.htm,591963834,PO BOX 14082,GAINESVILLE,FL,32604-2082
Lighthouse Baptist Church,Independent Baptist,Baptist Churches,"215 E. Lincoln Ave in Goshen, IN. Our mailing address is P.O. Box 920 Goshen, IN 46527","215 E. Lincoln Ave in Goshen, IN. Our mailing address is P.O. Box 920 Goshen, IN",46527,(574) 514-3825,https://mygospellight.com,https://www.usachurches.org/church/lighthousebaptistchurchgoshen.htm,311207846,6950 E RAYMOND ST,INDIANAPOLIS,IN,46239-9511
Emmaus Baptist Church,Independent Baptist,Baptist Churches,"2752 Medina Rd, Medina, MN 55340","2752 Medina Rd, Medina, MN",55340,(763) 473-0470,,https://www.usachurches.org/church/emmaus-baptist-church.htm,411435680,712 LINDEN ST N,NORTHFIELD,MN,55057-1341
Opportunity Bible Baptist Church,Independent Baptist,Baptist Churches,"101 S Yucca St, Chandler, AZ 85224","101 S Yucca St, Chandler, AZ",85224,(480) 287-4701,,https://www.usachurches.org/church/opportunity-bible-baptist-church.htm,860715780,6055 N SILVERBELL RD,TUCSON,AZ,85743-9095
Grace and Truth Baptist Church,Independent Baptist,Baptist Churches,"15900 Worthley Dr, San Lorenzo, CA 94580","15900 Worthley Dr, San Lorenzo, CA",94580,(510) 470-0359,,https://www.usachurches.org/church/grace-and-truth-baptist-church.htm,770622470,1555 W MIDDLEFIELD RD APT 113,MOUNTAIN VIEW,CA,94043-3055
Heritage Baptist Church,Independent Baptist,Baptist Churches,"17931 64th Ave, Lynnwood, WA 98037","17931 64th Ave, Lynnwood, WA",98037,(425) 774-1275,https://heritage-baptist.com,https://www.usachurches.org/church/heritage-baptist-church-mill-creek.htm,911209733,8803 NE 76TH ST,VANCOUVER,WA,98662-3710
Forest Hills Baptist Church,Independent Baptist,Baptist Churches,"1800 Greenplace Terrace, Rockville, MD 20850","1800 Greenplace Terrace, Rockville, MD",20850,(240) 428-4696,https://myforesthillsbaptist.com,https://www.usachurches.org/church/forest-hills-baptist-church.htm,520784898,4420 73RD AVE,LANDOVER HLS,MD,20784-2212
Northwest Baptist Church,Independent Baptist,Baptist Churches,"4605 Massachusetts Avenue, NW, Washington, DC 20016","4605 Massachusetts Avenue, NW, Washington, DC",20016,(202) 213-6807,,https://www.usachurches.org/church/northwest-baptist-church-washington.htm,522051646,PO BOX 60234,WASHINGTON,DC,20039-0234
Westpointe Baptist Church,Independent Baptist,Baptist Churches,"16750 W Garfield St, Goodyear, AZ 85338","16750 W Garfield St, Goodyear, AZ",85338,(623) 521-3549,https://westpointebaptist.org,https://www.usachurches.org/church/westpointe-baptist-church.htm,237192505,2500 N SCOTTSDALE RD,SCOTTSDALE,AZ,85257-1345
Heritage Baptist Church,Independent Baptist,Baptist Churches,"8966 Pierce St NE, Blaine, MN 55434","8966 Pierce St NE, Blaine, MN",55434,(763) 755-9437,,https://www.usachurches.org/church/heritage-baptist-church-blaine.htm,411312925,7966 HILLSIDE TRL S,COTTAGE GROVE,MN,55016-3166
Sun View Baptist Church,Independent Baptist,Baptist Churches,"1940 Highway 33, Suite D, Pelham, AL 35124","1940 Highway 33, Suite D, Pelham, AL",35124,(205) 685-9447,https://sunviewbaptist.com,https://www.usachurches.org/church/sun-view-baptist-church.htm,204451768,2625 HIGHWAY 35,PELHAM,AL,35124-2196
Mercy Hill Church,Southern Baptist Convention,Baptist Churches,"244 Southern Ave, Cincinnati, OH 45219","244 Southern Ave, Cincinnati, OH",45219,(513) 427-5671,https://mercyhillcincy.com,https://www.usachurches.org/church/mercyhillchurch.htm,770714027,10039 EDGERTON DR,MIAMISBURG,OH,45342-7225
Redeeming Grace Church,Southern Baptist Convention,Baptist Churches,"1528 Hamilton Rd, Pittsburgh, PA 15234","1528 Hamilton Rd, Pittsburgh, PA",15234,(412) 525-2243,https://redeeminggracepittsburgh.com,https://www.usachurches.org/church/redeeming-grace-church.htm,462817813,148 UNION ST,UNIONTOWN,PA,15401-4726
Covenant Church,Southern Baptist Convention,Baptist Churches,"30 & 11am inside AMC Theatre (4218 Buckeye Pkwy, Grove City, OH 43123","30 & 11am inside AMC Theatre (4218 Buckeye Pkwy, Grove City, OH",43123,(614) 594-9339,https://covenantchurch.us,https://www.usachurches.org/church/covenant-church-grove-city.htm,943468922,PO BOX 1314,GROVE CITY,OH,43123-6314
Barabbas Road Church,Southern Baptist Convention,Baptist Churches,"4833 Doliva Dr, San Diego, CA 92117","4833 Doliva Dr, San Diego, CA",92117,(760) 216-9081,https://barabbas.com,https://www.usachurches.org/church/barabbas-road-church.htm,371742968,2171 VILLA AVENUE,CLOVIS,CA,93612-3691
Watts Chapel Baptist Church,Southern Baptist Convention,Baptist Churches,"1462 KY-2750, Crab Orchard, KY 40419","1462 KY-2750, Crab Orchard, KY",40419,(270) 890-3325,https://wattschapelchurch.com,https://www.usachurches.org/church/wattschapelbaptistchurch.htm,260605976,449 BRIDGEPORT RD,EDMONTON,KY,42129-8414
Traceway Baptist Church,Southern Baptist Convention,Baptist Churches,"312 Camp Garaywa Rd, Clinton, MS 39056","312 Camp Garaywa Rd, Clinton, MS",39056,(601) 954-0721,https://tracewaychurch.org,https://www.usachurches.org/church/traceway-baptist-church.htm,263264494,112 1/2 NORTH ST,CLEVELAND,MS,38732-0000
CrossCountry Church,Southern Baptist Convention,Baptist Churches,"2700 E Broadview Ave, Wasilla, AK 99654","2700 E Broadview Ave, Wasilla, AK",99654,(907) 746-7000,https://crosscountrychurch.com,https://www.usachurches.org/church/cross-country-church.htm,010897800,7010 E FIREWEED RD,PALMER,AK,99645-5907
Discovery Community Church,Southern Baptist Convention,Baptist Churches,"4902 S Alaska St, Tacoma, WA 98408","4902 S Alaska St, Tacoma, WA",98408,(253) 761-1357,https://discochurch.com,https://www.usachurches.org/church/discovery-community-church.htm,912096024,PO BOX 111840,TACOMA,WA,98411-1840
Covenant Baptist Church,Southern Baptist Convention,Baptist Churches,"19702 W Lake Houston Pkwy, Humble, TX 77346","19702 W Lake Houston Pkwy, Humble, TX",77346,(281) 928-4065,https://covenantbaptistchurch.cc,https://www.usachurches.org/church/church-at-the-cross.htm,741508906,4949 CAROLINE ST,HOUSTON,TX,77004-5701
Apple Valley Baptist Church,Southern Baptist Convention,Baptist Churches,"34 Westwood Rd, Berryville, VA 22611","34 Westwood Rd, Berryville, VA",22611,(703) 554-9681,,https://www.usachurches.org/church/apple-valley-baptist-church.htm,541061451,125 LEE ST,BLUEFIELD,VA,24605-8637
The Bridge Community Church,Southern Baptist Convention,Baptist Churches,"6010 McCrimmon Pkwy, Morrisville, NC 27560","6010 McCrimmon Pkwy, Morrisville, NC",27560,(919) 460-5917,https://bridgecommunitychurch.net,https://www.usachurches.org/church/the-bridge-community-church-morrisville.htm,208542815,777 ELLIOT BRIDGE RD,FAYETTEVILLE,NC,28311-9722
Cowboy Church of Anchorage,Southern Baptist Convention,Baptist Churches,"7801 E 32nd Ave, Anchorage, AK 99504","7801 E 32nd Ave, Anchorage, AK",99504,(907) 230-3115,,https://www.usachurches.org/church/cowboy-church-of-anchorage.htm,920174916,4801 OLD SEWARD HWY,ANCHORAGE,AK,99503-7419
Grace Baptist Church of Arlington,Southern Baptist Convention,Baptist Churches,"700 S. Buchanan Street, Arlington, VA 22204","700 S. Buchanan Street, Arlington, VA",22204,(703) 623-0079,,https://www.usachurches.org/church/grace-baptist-church-of-arlington.htm,541187472,1255 HOOVER RD,WOODSTOCK,VA,22664-1028
Vintage Life Church,Southern Baptist Convention,Baptist Churches,"15172 Walnut Avenue, Fontana, CA 92336","15172 Walnut Avenue, Fontana, CA",92336,(909) 984-5433,,https://www.usachurches.org/church/vintage-life-church.htm,273764802,6441 BLUEBELL ST,EASTVALE,CA,92880-0737
Alive Covenant Church,Evangelical Covenant Church,Brethren Churches,"18991 Front St NE, Poulsbo, WA 98370","18991 Front St NE, Poulsbo, WA",98370,(360) 697-4321,https://kitsapalive.com,https://www.usachurches.org/church/alivecovenantchurch.htm,611490500,PO BOX 2128,POULSBO,WA,98370-0947
New Hope Covenant Church,Evangelical Covenant Church,Brethren Churches,"4744 W Grovers Ave, Glendale, AZ 85308","4744 W Grovers Ave, Glendale, AZ",85308,(623) 412-2234,,https://www.usachurches.org/church/new-hope-covenant-church.htm,860900807,3822 S 186TH DR,GOODYEAR,AZ,85338-7631
New City Covenant Church,Evangelical Covenant Church,Brethren Churches,"3700 Monterey Dr, St Louis Park, MN 55416","3700 Monterey Dr, St Louis Park, MN",55416,(612) 208-3480,https://newcitycov.org,https://www.usachurches.org/church/new-city-covenant-church.htm,301206996,1612 73RD AVE N,BROOKLYN PARK,MN,55444-2470
Hope Community Church,Evangelical Free Church of America,Brethren Churches,"505 N Springinsguth Rd, Schaumburg, IL 60194","505 N Springinsguth Rd, Schaumburg, IL",60194,(847) 721-9908,https://connectingtohope.com,https://www.usachurches.org/church/hope-community-church-hoffman-estates.htm,300219932,PO BOX 937,LAKE VILLA,IL,60046-0937
Capital City Grace Church,Fellowship of Grace Brethren Churches,Brethren Churches,"11 N Westmoor Ave, Columbus, OH 43204","11 N Westmoor Ave, Columbus, OH",43204,(614) 294-6213,https://capitalcitygrace.org,https://www.usachurches.org/church/capital-city-grace-church.htm,800274141,94 S WESTGATE AVE,COLUMBUS,OH,43204-1960
Church of the Holy Paraclete,Reformed Catholic Church,Catholic Churches,"455 Douglas Ave, Providence, RI 02908","455 Douglas Ave, Providence, RI",02908,(401) 218-0706,https://holyparaclete.org,https://www.usachurches.org/church/church-of-the-holy-paraclete.htm,050258822,1409 PARK AVE,WOONSOCKET,RI,02895-6513
Sts. Peter and Paul Ecumenical Catholic Church USA,Reformed Catholic Church,Catholic Churches,"808 N. Mason Road, Creve Coeur, MO 63141","808 N. Mason Road, Creve Coeur, MO",63141,(314) 968-7800,https://sspp-eccusa.org,https://www.usachurches.org/church/stspeterandpaulecumenicalcatholicchurchusa.htm,430653555,1919 S 7TH ST,SAINT LOUIS,MO,63104-4029
The Orchard Christian Church,Christian Churches and Churches of Christ,Christian and Restorationist Churches,"20 West Frazier St, Smyrna, DE 19977","20 West Frazier St, Smyrna, DE",19977,(208) 502-0149,https://theorchard.cc,https://www.usachurches.org/church/theorchardchristianchurch.htm,200590686,PO BOX 416,MIDDLETOWN,DE,19709-0416
Heart of Grace,Christian Churches and Churches of Christ,Christian and Restorationist Churches,"209 N John St, Highland, MI 48357","209 N John St, Highland, MI",48357,(248) 529-6757,,https://www.usachurches.org/church/heart-of-grace.htm,264652601,PO BOX 458,BOYNE CITY,MI,49712-0458
Greater Las Vegas Church of Christ,Churches of Christ,Christian and Restorationist Churches,"4601 W Bonanza Rd, Las Vegas, NV 89107","4601 W Bonanza Rd, Las Vegas, NV",89107,(702) 608-2165,https://glvcc.org,https://www.usachurches.org/church/greaterlasvegaschurchofchrist.htm,880274921,5317 SMOKE RANCH RD,LAS VEGAS,NV,89108-3532
Heart of Texas Church of Christ,Churches of Christ,Christian and Restorationist Churches,"711 Spring St, Bastrop, TX 78602","711 Spring St, Bastrop, TX",78602,(512) 409-8973,https://heartoftexaschurchofchrist.com,https://www.usachurches.org/church/heart-of-texas-church-of-christ.htm,611771823,PO BOX 825,BASTROP,TX,78602-0825
Lonestar Church of Christ,Churches of Christ,Christian and Restorationist Churches,"9594 Volunteer Ave, Shiro, TX 77876","9594 Volunteer Ave, Shiro, TX",77876,(346) 225-4870,https://lonestarchurchofchrist.com,https://www.usachurches.org/church/lonestarchurchofchrist.htm,237100481,1000 BRODIE ST,AUSTIN,TX,78704-5041
Citizens Church,Churches of Christ,Christian and Restorationist Churches,"8025 Waterman Rd, Sacramento, CA 95829","8025 Waterman Rd, Sacramento, CA",95829,(916) 553-2656,https://citizens.church,https://www.usachurches.org/church/citizenschurch.htm,463597594,PO BOX 7525,REDLANDS,CA,92375-0525
Live Free Church,National Association of Congregational Christian Churches,Congregational Churches,"1725 Grayson Hwy, Grayson, GA 30017","1725 Grayson Hwy, Grayson, GA",30017,(678) 442-0487,https://livefreechurch.org,https://www.usachurches.org/church/live-free-church.htm,463100428,706 GRAYSON HWY,LAWRENCEVILLE,GA,30046-5736
St. Edward the Confessor Holy Catholic Church Anglican Rite,Continuing Anglican,Episcopal and Anglican Churches,"1505 S. Main St., Lockhart, TX 78644","1505 S. Main St., Lockhart, TX",78644,(512) 644-5339,,https://www.usachurches.org/church/st-edward-the-confessor-holy-catholic-church-anglican-rite.htm,742119222,47 PECAN VALLEY CIR,SAN ANTONIO,TX,78223-1671
St. Giles' Episcopal Church,Episcopal Church,Episcopal and Anglican Churches,"1928 Saint Mary's Rd, Moraga, CA 94556","1928 Saint Mary's Rd, Moraga, CA",94556,(925) 376-5770,https://stgiles-moraga.org,https://www.usachurches.org/church/st-giles-episcopal-church.htm,237133913,28005 ROBINSON CANYON RD,CARMEL,CA,93923-8572
Redeemer Alliance Church,Christian and Missionary Alliance,Holiness Churches,"1400 West Fern Drive, Fullerton, CA 92833","1400 West Fern Drive, Fullerton, CA",92833,(714) 770-9292,,https://www.usachurches.org/church/redeemer-alliance-church.htm,208950628,1614 H ST,MODESTO,CA,95354-2535
Trinity Church of Centennial,Christian and Missionary Alliance,Holiness Churches,"7300 S Clermont Dr, Littleton, CO 80122","7300 S Clermont Dr, Littleton, CO",80122,(720) 334-2368,,https://www.usachurches.org/church/trinity-church-of-centennial.htm,237044941,500 E 84TH ST,THORNTON,CO,80229-5309
Hope River Church of God,"Church of God (Anderson, IN)",Holiness Churches,"311 N Main St, Jersey Shore, PA 17740","311 N Main St, Jersey Shore, PA",17740,(570) 377-0485,https://hoperiverchurch.com,https://www.usachurches.org/church/hope-river-church-of-god.htm,471482656,325 THOMAS ST,JERSEY SHORE,PA,17740-1050
Hill City Church,"Church of God (Anderson, IN)",Holiness Churches,"135 Prairie Ave, Providence, RI 02905","135 Prairie Ave, Providence, RI",02905,(630) 452-9730,https://hillcitypvd.com,https://www.usachurches.org/church/hillcitychurch.htm,831851445,10 DAVOL SQ STE 100,PROVIDENCE,RI,02903-4752
The Living Water International Church of Maryland,Church of the Nazarene,Holiness Churches,"51 University Blvd E., Silver Spring, MD 20901","51 University Blvd E., Silver Spring, MD",20901,(301) 498-1323,,https://www.usachurches.org/church/the-living-water-international-church-of-maryland.htm,464313406,14811 MAIN ST,UPPR MARLBORO,MD,20772-3016
Celebrate Life Church,Church of the Nazarene,Holiness Churches,"23420 Cinco Ranch Boulevard, Katy, TX 77494","23420 Cinco Ranch Boulevard, Katy, TX",77494,(832) 606-2719,,https://www.usachurches.org/church/celebrate-life-church.htm,752316631,2012 YOUNG ST,GRAND PRAIRIE,TX,75050-6166
Augsburg Evangelical Church,American Association of Lutheran Churches,Lutheran Churches,"9800 Cherry Hill Rd, College Park, MD 20740","9800 Cherry Hill Rd, College Park, MD",20740,(410) 788-5704,,https://www.usachurches.org/church/augsburg-evangelical-church.htm,261840345,13800 OLD GUNPOWDER RD,LAUREL,MD,20707-3116
Christ Community Church,Association of Free Lutheran Congregations,Lutheran Churches,"8916 Mapleville Rd, Boonsboro, MD 21713","8916 Mapleville Rd, Boonsboro, MD",21713,(240) 329-4920,https://christcommunityonline.net,https://www.usachurches.org/church/christ-community-church-boonsboro.htm,205310191,PO BOX 160,BEL AIR,MD,21014-0160
Living Faith Church,Evangelical Lutheran Church in America,Lutheran Churches,"2000 NW Courtyard Cir, Port St Lucie, FL 34986","2000 NW Courtyard Cir, Port St Lucie, FL",34986,(772) 252-5200,https://lfc.church,https://www.usachurches.org/church/livingfaithchurchportstlucie.htm,900991751,10380 SW VILLAGE CENTER DR STE 218,PORT ST LUCIE,FL,34987-1931
Living Water Lutheran Church,Lutheran Church--Missouri Synod,Lutheran Churches,"1495 S Verrado Way, Buckeye, AZ 85326","1495 S Verrado Way, Buckeye, AZ",85326,(623) 266-1835,https://livingwateraz.org,https://www.usachurches.org/church/living-water-lutheran-church.htm,860867528,9201 E HAPPY VALLEY RD,SCOTTSDALE,AZ,85255-2228
"Community of Hope Lutheran Church, Lakewood",Lutheran Church--Missouri Synod,Lutheran Churches,"1415 Lakeland Ave, Lakewood, OH 44107","1415 Lakeland Ave, Lakewood, OH",44107,(440) 792-4700,,https://www.usachurches.org/church/community-of-hope-lutheran-church-lakewood.htm,341136457,6517 FINZEL RD,WHITEHOUSE,OH,43571-9577
ReaLife Church,Lutheran Congregations in Mission for Christ,Lutheran Churches,"4551 W 102 St, Bloomington, MN 55437","4551 W 102 St, Bloomington, MN",55437,(612) 741-6615,https://realife-church.org,https://www.usachurches.org/church/realife-church.htm,455295709,11255 LANEWOOD CIR,EDEN PRAIRIE,MN,55344-4072
All Saints Lutheran Church of Bloomington Normal,Lutheran Congregations in Mission for Christ,Lutheran Churches,"313 N East St, Bloomington, IL 61701","313 N East St, Bloomington, IL",61701,(309) 824-7495,,https://www.usachurches.org/church/all-saints-lutheran-church-of-bloomington-normal.htm,362950570,5800 STATE PARK RD,FOX LAKE,IL,60020-1182
Abundant Life NALC,North American Lutheran Church,Lutheran Churches,"2494 Walker Rd, Hilliard, OH 43026","2494 Walker Rd, Hilliard, OH",43026,(614) 873-5081,https://abundantlifehilliard.org,https://www.usachurches.org/church/abundant-life-nalc.htm,341422033,46469 STATE ROUTE 46,NEW WATERFORD,OH,44445-9603
The Word of God,African Methodist Episcopal Church,Methodist Churches,"1465 Rio Rancho Blvd SE, Rio Rancho, NM 87124","1465 Rio Rancho Blvd SE, Rio Rancho, NM",87124,(505) 917-2657,,https://www.usachurches.org/church/thewordofgod.htm,850299081,29 NAVAJO LN,LOS LUNAS,NM,87031-8092
CrossWork Christian Center,African Methodist Episcopal Church,Methodist Churches,"4 Applegate Circle, Round Rock, TX 78664","4 Applegate Circle, Round Rock, TX",78664,(512) 238-6554,https://crossworkcc.org,https://www.usachurches.org/church/crosswork-christian-center.htm,010957758,PO BOX 10151,KILLEEN,TX,76547-0151
Vertical Church,Evangelical Church of North America,Methodist Churches,"417 N Jefferson St, Sheridan, WY 82801","417 N Jefferson St, Sheridan, WY",82801,(307) 673-1060,,https://www.usachurches.org/church/vertical-church.htm,300137467,620 S WALNUT ST,CASPER,WY,82601-2331
Southside Community Church,Free Methodist Church of North America,Methodist Churches,"715 E 8th St, Newberg, OR 97132","715 E 8th St, Newberg, OR",97132,(503) 538-6400,,https://www.usachurches.org/church/southside-community-church.htm,043652641,PO BOX 1710,SILVERTON,OR,97381-0365
The Bridge United Methodist Church,United Methodist Church,Methodist Churches,"1400 Newcastle Rd, Washington, IL 61571","1400 Newcastle Rd, Washington, IL",61571,(309) 306-1544,https://thebridgeumc.org,https://www.usachurches.org/church/thebridgeunitedmethodistchurch.htm,370773124,222 N MONROE ST,PITTSFIELD,IL,62363-1429
Mount Pisgah Church,United Methodist Church,Methodist Churches,"9820 Nesbit Ferry Rd, Alpharetta, GA 30022","9820 Nesbit Ferry Rd, Alpharetta, GA",30022,(678) 336-3000,https://mountpisgah.org,https://www.usachurches.org/church/mount-pisgah-united-methodist-church.htm,364537438,1025 MEMORIAL DR E,DALLAS,GA,30132-2433
Kumler United Methodist Church,United Methodist Church,Methodist Churches,"303 North Grand Ave E, Springfield, IL 62702","303 North Grand Ave E, Springfield, IL",62702,(217) 523-2046,,https://www.usachurches.org/church/kumler-united-methodist-church.htm,370773124,222 N MONROE ST,PITTSFIELD,IL,62363-1429
Covenant United Methodist Church,United Methodist Church,Methodist Churches,"8455 Creekside Green Dr, Spring, TX 77389","8455 Creekside Green Dr, Spring, TX",77389,(855) 395-7075,https://covenantwoodlands.org,https://www.usachurches.org/church/covenant-united-methodist-church-spring.htm,760296103,5243 SAVANNAH PKWY,ROSHARON,TX,77583-5431
G3 Church,United Methodist Church,Methodist Churches,"401 Meadowlark Dr, Winston-Salem, NC 27106","401 Meadowlark Dr, Winston-Salem, NC",27106,(336) 462-9307,https://gathergrowgo.org,https://www.usachurches.org/church/g3-church.htm,061741162,11416 E INDEPENDENCE BLVD STE N,MATTHEWS,NC,28105-4947
Monroe Community Church,United Methodist Church,Methodist Churches,"139 Stevens Ave, Jamesburg, NJ 08831","139 Stevens Ave, Jamesburg, NJ",08831,(732) 251-8995,,https://www.usachurches.org/church/monroe-community-church.htm,010682831,200 ATRIUM DR,SOMERSET,NJ,08873-4103
Living Victory Church,Interdenominational,Other Churches,"10800 Rosslyn Ln, Bakersfield, CA 93311","10800 Rosslyn Ln, Bakersfield, CA",93311,(661) 323-2145,https://livingvictorychurch.org,https://www.usachurches.org/church/living-victory-church.htm,300160432,1402 HEMLOCK AVE,IMPERIAL BCH,CA,91932-3808
Faith Fellowship & Christian Life Center,Interdenominational,Other Churches,"2900 East Elms Rd, Killeen, TX  76541","2900 East Elms Rd, Killeen, TX",76541,(254) 681-1085,https://myfaithfellowship.org,https://www.usachurches.org/church/faith-fellowship-and-christian-life-center.htm,742536271,12140 W US HIGHWAY 90,SAN ANTONIO,TX,78245-3633
Generations Community Church,Interdenominational,Other Churches,"44 Club Lane, Nicholasville, KY 40356","44 Club Lane, Nicholasville, KY",40356,(859) 885-7574,https://g2c.net,https://www.usachurches.org/church/generations-community-church.htm,010969262,PO BOX 178,WEST PADUCAH,KY,42086-0178
Columbus Ambassadors for Christ,Interdenominational,Other Churches,"3750 Henderson Rd, Columbus, OH 43220","3750 Henderson Rd, Columbus, OH",43220,(614) 888-0491,https://mycafc.org,https://www.usachurches.org/church/columbus-ambassadors-for-christ.htm,311313745,2300 S HAMILTON RD,COLUMBUS,OH,43232-4306
Abiding Love Fellowship,Interdenominational,Other Churches,"231 N Federal Hwy, Lake Worth, FL 33460","231 N Federal Hwy, Lake Worth, FL",33460,(561) 307-0382,https://abidinglovefellowship.com,https://www.usachurches.org/church/abiding-love-fellowship.htm,020552154,PO BOX 831994,OCALA,FL,34483-1994
Living Hope Worship Center,Interdenominational,Other Churches,"2225 Patriot Drive, Murfreesboro, TN 37130","2225 Patriot Drive, Murfreesboro, TN",37130,(615) 494-0612,,https://www.usachurches.org/church/living-hope-worship-center.htm,205858537,136 ELIZABETH ST,ASHLAND CITY,TN,37015-1110
