church_name,denomination,family,address,city_state,zip,phone,website,page_url
House of Faith Christian Center,Non-Denominational / Independent,Other Churches,"2000 Eagle Aerie Ln, St Paul, TX 75098","2000 Eagle Aerie Ln, St Paul, TX",75098,(972) 517-7999,https://houseoffaithcc.org,https://www.usachurches.org/church/house-of-faith-community-church.htm
The Sanctuary Church DFW,Non-Denominational / Independent,Other Churches,"7600 John Q. Hammons Dr., Frisco, TX 75034","7600 John Q. Hammons Dr., Frisco, TX",75034,(972) 559-0642,https://thesanctuarydfw.org,https://www.usachurches.org/church/the-sanctuary-church-dfw.htm
Fellowship Christian Center Church,Non-Denominational / Independent,Other Churches,"1550 Edelweiss Dr, Allen, TX 75002","1550 Edelweiss Dr, Allen, TX",75002,(972) 359-9956,,https://www.usachurches.org/church/fellowship-christian-center-church.htm
Faith in Action International Ministries,Non-Denominational / Independent,Other Churches,"14 (West Oaks Mall, 700 West Oaks Mall, Houston, TX 77082","14 (West Oaks Mall, 700 West Oaks Mall, Houston, TX",77082,(281) 935-5625,https://yourfaithinactiontx.org,https://www.usachurches.org/church/faith-in-action-international-ministries.htm
Alamo Stone,Non-Denominational / Independent,Other Churches,"5719 Mobud St, San Antonio, TX 78238","5719 Mobud St, San Antonio, TX",78238,(210) 487-9403,https://alamostone.org,https://www.usachurches.org/church/alamo-stone.htm
Mountain Top Ministries,Non-Denominational / Independent,Other Churches,"36 and Feeder highway 59 in Rosenberg (28382 Southwest Freeway, Rosenberg, TX 77471","36 and Feeder highway 59 in Rosenberg (28382 Southwest Freeway, Rosenberg, TX",77471,(281) 762-2967,https://mtopm.org,https://www.usachurches.org/church/mountain-top-ministries.htm
North Elevation Church,Non-Denominational / Independent,Other Churches,"2041 Hwy 287 N, Mansfield, TX 76063","2041 Hwy 287 N, Mansfield, TX",76063,(817) 473-7575,https://nechurchtx.com,https://www.usachurches.org/church/north-elevation-church.htm
Grace Church USA,Non-Denominational / Independent,Other Churches,"1590 Lyndon B Johnson Fwy, Dallas, TX 75234","1590 Lyndon B Johnson Fwy, Dallas, TX",75234,(972) 245-0446,,https://www.usachurches.org/church/grace-church-usa.htm
Church of the Pines,Non-Denominational / Independent,Other Churches,"14 Theater (1250 S SW Loop 323, Tyler, TX 75701","14 Theater (1250 S SW Loop 323, Tyler, TX",75701,(903) 224-8595,https://churchofthepines.com,https://www.usachurches.org/church/churchofthepines.htm
The Summit Church,Non-Denominational / Independent,Other Churches,"14155 Grant Rd, Cypress, TX 77429","14155 Grant Rd, Cypress, TX",77429,(832) 463-4555,https://summitlife.tv,https://www.usachurches.org/church/the-summit-church.htm
Rapha Life Center,Non-Denominational / Independent,Other Churches,"2450 Brinker Rd, Denton, TX 76208","2450 Brinker Rd, Denton, TX",76208,(940) 367-2680,,https://www.usachurches.org/church/rapha-life-center.htm
The Sanctuary Family Church,Non-Denominational / Independent,Other Churches,"3602 Williams Way Blvd, Richmond, TX 77469","3602 Williams Way Blvd, Richmond, TX",77469,(281) 542-3135,https://sanctuaryfamch.org,https://www.usachurches.org/church/the-sanctuary-family-church.htm
New Vision Community Church,Non-Denominational / Independent,Other Churches,"11230 Southwest Freeway, Houston, TX 77031","11230 Southwest Freeway, Houston, TX",77031,(281) 512-1244,,https://www.usachurches.org/church/new-vision-community-church.htm
Westlake Fellowship,Non-Denominational / Independent,Other Churches,"19785 Texas 105, Montgomery, TX 77356","19785 Texas 105, Montgomery, TX",77356,(713) 253-3215,https://westlakefellowship.org,https://www.usachurches.org/church/westlake-fellowship.htm
Wave Church,Non-Denominational / Independent,Other Churches,"7601 Gaylord Pkwy, Frisco, TX 75034","7601 Gaylord Pkwy, Frisco, TX",75034,(972) 325-1981,,https://www.usachurches.org/church/wave-church.htm
The Church at Sendera Ranch,Non-Denominational / Independent,Other Churches,"14081 Willow Springs Rd, Haslet, TX 76052","14081 Willow Springs Rd, Haslet, TX",76052,(682) 231-2463,https://changinglivesforgood.com,https://www.usachurches.org/church/the-church-at-sendera-ranch.htm
Spirit of Life Community Church,Non-Denominational / Independent,Other Churches,"800 Brooks Street, Sugar Land, TX 77478","800 Brooks Street, Sugar Land, TX",77478,(281) 238-5531,https://spiritoflife.com,https://www.usachurches.org/church/spirit-of-life-community-church.htm
Jubilee Church,Non-Denominational / Independent,Other Churches,"6003 Woodway Drive, Woodway, TX 76712","6003 Woodway Drive, Woodway, TX",76712,(254) 729-2823,,https://www.usachurches.org/church/jubilee-church.htm
Living Church,Assemblies of God,Pentecostal Churches,"570 N Walnut Creek, Mansfield, TX 76063","570 N Walnut Creek, Mansfield, TX",76063,(817) 405-0508,https://livingchurch.com,https://www.usachurches.org/church/living-church.htm
Shiloh Church of God in Christ,Church of God in Christ,Pentecostal Churches,"4905 Pickett St, Greenville, TX 75401","4905 Pickett St, Greenville, TX",75401,(903) 450-2886,,https://www.usachurches.org/church/shiloh-church-of-god-in-christ.htm
Providence Presbyterian Church,Orthodox Presbyterian Church,Presbyterian Churches,"3838 Woodland Hills Dr, Kingwood, TX 77339","3838 Woodland Hills Dr, Kingwood, TX",77339,(281) 846-5573,https://providencepres.com,https://www.usachurches.org/church/providence-orthodox-presbyterian-church.htm
